case_id,status,reviewed_at,reviewer_reason,ai_root_cause,corrected_root_cause,corrected_fix_steps,correction_summary
27,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,The inbound extended access list FILTER_LAN blocks DHCP (UDP 67/68) and DNS (UDP 53) traffic because it only permits TCP ports 80 (www) and 443.,,,
28,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"The internal LAN interface GigabitEthernet0/0/1 is missing the 'ip nat inside' command, preventing Network Address Translation from functioning.",,,
29,Edited,2026-09-03T15:11:01,AI did not specify that the ACL matches 192.168.1.0/24 while the actual LAN subnet is 192.168.2.0/24.,The NAT access list does not match the actual inside LAN subnet.,"NAT Access List 1 is configured to permit subnet 192.168.1.0/24, which mismatches the actual LAN subnet of 192.168.2.0/24 configured on interface GigabitEthernet0/0/1.","Update standard access-list 1 to match the actual LAN subnet: 'access-list 1 permit 192.168.2.0 0.0.0.255'., Clear NAT translations table: 'clear ip nat translation *'., Verify NAT translations are dynamically populated when LAN devices generate traffic.",The AI failed to identify the specific subnet mismatch between the access list and the inside interface.
30,Edited,2026-09-03T15:11:01,AI did not point out that the inside local and inside global IPs were inverted in the command parameters.,Static NAT mapping has the public and private IP addresses inverted.,"Static NAT mapping has parameters inverted (configured with public IP first, i.e., 'ip nat inside source static 203.0.113.10 192.168.1.50' instead of local IP first).","Remove the inverted static NAT configuration: 'no ip nat inside source static 203.0.113.10 192.168.1.50'., Configure the correct static NAT command with local IP first: 'ip nat inside source static 192.168.1.50 203.0.113.10'., Verify that external users can reach the internal server via the public IP.",The AI did not state that the public and private IP parameters were inverted.
31,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,The DHCP server is advertising an unreachable DNS server address (192.168.10.254) to clients.,,,
32,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"The management switch virtual interface (SVI) Vlan99 is administratively down (shutdown), preventing management traffic to 192.168.99.2.",,,
33,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"The host in the sales department is connected to Switch0 port FastEthernet0/10, which is assigned to VLAN 20 (Marketing) instead of VLAN 10 (Sales).",,,
34,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,The OSPF routing process on Router0 is missing the network statement for the locally connected LAN subnet (192.168.10.0/24).,,,
35,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"Dynamic NAT configuration is missing the 'overload' keyword, preventing port address translation (PAT) and limiting NAT to a single simultaneous inside host translation.",,,
36,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,The DHCP address pool is exhausted because all available IP addresses in the configured range have been leased out.,,,
37,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"Switch0 is missing the default gateway configuration, preventing management traffic from communicating across subnets.",,,
38,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"DHCP server functionality is disabled on the wireless router, preventing clients from obtaining an IP address.",,,
39,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,Wireless authentication fails due to a pre-shared key mismatch between the access point and the laptop client.,,,
40,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"Standard ACL 10 has a 'deny any' statement at the top (sequence 10) before the permit statement, causing all traffic from the subnet to be blocked.",,,
