Cases,symptom,outputs,expected fault,OSI Layer,Concept,severity
20,PC0 cannot successfully communicate with PC1 at 192.168.20.10; ICMP requests time out because the return path is missing.,Router0 show ip route contains a route to 192.168.20.0/24 via 10.1.1.2; Router1 show ip route does not contain a route to 192.168.10.0/24.,Router1 is missing the reverse static route to 192.168.10.0/24 via Router0 at 10.1.1.1.,Layer 3,Static Routing / Return Route,High
21,Router0 treats the intended backup static route as equally preferred because both static routes have the same administrative distance of 1.,show ip route 192.168.20.0 shows the static route(s) with AD 1; route configuration shows both primary and backup routes using AD 1.,"Backup static route was configured with AD 1 instead of a higher AD such as 10, so it is not functioning as a floating backup route.",Layer 3,Static Routing / Administrative Distance,Medium
22,OSPF neighbor adjacency between Router0 and Router1 fails or drops after the Hello timer is changed on one side.,Router0 show ip ospf interface g0/0 shows Hello interval 5 and Dead interval 40; Router1 shows Hello interval 10 and Dead interval 40; show ip ospf neighbor does not show a stable FULL adjacency.,OSPF Hello interval mismatch between Router0 and Router1. Router0 is configured with Hello 5 seconds while Router1 uses the default 10 seconds.,Layer 3,OSPF / Hello and Dead Timers,High
23,OSPF neighbor adjacency between Router0 and Router1 fails to form or drops after the OSPF area is changed on one side.,"Router0 show ip ospf interface g0/0 shows Area 0, while Router1 shows Area 1; show ip ospf neighbor does not show a stable FULL adjacency.",OSPF area ID mismatch: Router0 is configured for Area 0 while Router1 is configured for Area 1 on the same transit link.,Layer 3,OSPF / Area ID,High
24,Hello packets are suppressed on the transit link; OSPF neighbor adjacency never establishes.,"GigabitEthernet0/0/0 is up, line protocol is up
  Internet address is 10.0.0.1/30, Area 0
  Process ID 1, Router ID 192.168.1.1, Network Type BROADCAST, Cost: 1
  Timer intervals configured, Hello 10, Dead 40, Wait 40, Retransmit 5
    No Hellos (Passive interface)",passive-interface GigabitEthernet0/0/0 was issued under the OSPF process on a transit link.,Layer 3,OSPF Routing,High
25,Ingress WAN traffic gets filtered unintentionally while the target outbound host traffic remains unblocked.,"GigabitEthernet0/0/0 is up, line protocol is up (connected)
  Internet address is 10.0.0.1/30
  Broadcast address is 255.255.255.255
  Address determined by setup command
  MTU is 1500 bytes
  Helper address is not set
  Directed broadcast forwarding is disabled
  Outgoing access list is not set
  Inbound  access list is 10",Standard ACL applied in the wrong direction (ip access-group 10 in) on the egress WAN interface.,Layer 3,Standard ACL,High
26,"Internal hosts can perform ping tests, but web pages fail to load because return TCP packets are blocked.","Extended IP access list WAN_IN
    permit icmp any any",Extended ACL on WAN permits ICMP but is missing the "permit tcp any any established" rule.,Layer 4,Extended ACL / TCP,High
27,"Clients lose IP address leases or cannot resolve hostnames, despite direct IP reachability being active.","Extended IP access list FILTER_LAN
    permit tcp 192.168.1.0 0.0.0.255 any eq www
    permit tcp 192.168.1.0 0.0.0.255 any eq 443","Extended ACL implicitly denies UDP, lacking explicit permits for UDP 53 and UDP 67/68.",Layer 7,ACL / DNS / DHCP,High
28,Internal private IP packets pass to the Internet without translation; the upstream ISP drops them.,"GigabitEthernet0/0/1 is up, line protocol is up (connected)
  Internet address is 192.168.1.1/24
  Broadcast address is 255.255.255.255
  Network address translation is disabled",Omitted the ip nat inside command on the LAN gateway interface.,Layer 3,NAT,High
29,LAN devices have a valid default gateway but cannot access external networks; translations table is empty.,"Standard IP access list 1
    permit 192.168.2.0 0.0.0.255",NAT ACL matches the wrong subnet (192.168.1.0 instead of 192.168.2.0).,Layer 3,PAT / NAT Overload,High
30,External Internet users cannot reach the internal server via its public IP address.,"Pro  Inside global     Inside local       Outside local      Outside global
---  192.168.1.50      203.0.113.10       ---                ---",1-to-1 static NAT statement configured with inverted IP parameters (Public IP listed first).,Layer 3,Static NAT,High
31,"PC0 obtains an IP address via DHCP and can ping the default gateway and external public IPs (e.g., 8.8.8.8), but cannot browse websites using domain names (e.g., www.example.com).","PC0> ipconfig /all
FastEthernet0 Connection:
   IPv4 Address....................: 192.168.10.50
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 192.168.10.1
   DNS Server......................: 192.168.10.254

Router0# show running-config | section ip dhcp pool
ip dhcp pool LAN_POOL
   network 192.168.10.0 255.255.255.0
   default-router 192.168.10.1
   dns-server 192.168.10.254

Router0# show ip interface brief | include 192.168.10
GigabitEthernet0/0/0       192.168.10.1    YES manual up                    up

Router0# ping 192.168.10.254
Type escape sequence to abort.
Sending 5, 100-byte ICMP Echos to 192.168.10.254, timeout is 2 seconds:
.....
Success rate is 0 percent (0/5)",DHCP server is advertising an incorrect or unreachable DNS server address (192.168.10.254) in its DHCP pool configuration.,Layer 7,DHCP / DNS Mismatch,High
32,"Switch0 is functioning normally and traffic flows between VLANs, but network administrators cannot telnet or SSH to the switch management IP (192.168.99.2) from another subnet.","Switch0# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
Vlan1                  unassigned      YES unset  up                    up
Vlan99                 192.168.99.2    YES manual administratively down down
FastEthernet0/1        unassigned      YES unset  up                    up
FastEthernet0/2        unassigned      YES unset  up                    up

Switch0# show running-config interface vlan 99
Building configuration...
Current configuration : 72 bytes
!
interface Vlan99
 ip address 192.168.99.2 255.255.255.0
 shutdown
end",Switch virtual interface (SVI) for the management VLAN (Vlan99) is administratively down (shutdown).,Layer 3 / Layer 2,VLANs / SVI Down,Medium
33,A host (PC0) in the sales department is connected to Switch port FastEthernet0/10. It cannot reach the sales gateway (192.168.10.1) or obtain a DHCP address. Pings to 192.168.10.1 fail.,"Switch0# show mac address-table interface fa0/10
          Mac Address Table
-------------------------------------------
Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
  20    0060.2f2a.1111    DYNAMIC     Fa0/10

Switch0# show running-config interface fa0/10
interface FastEthernet0/10
 switchport access vlan 20
 switchport mode access
end

Switch0# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3
10   Sales                            active    Fa0/4, Fa0/5
20   Marketing                        active    Fa0/10, Fa0/11",Switch access port FastEthernet0/10 is assigned to the wrong VLAN (VLAN 20/Marketing) instead of Vlan 10/Sales.,Layer 2,Switchport VLAN Assignment,High
34,"Router0 can ping its adjacent neighbors, but remote networks do not receive OSPF routes for the LAN network (192.168.10.0/24) connected to Router0's GigabitEthernet0/0/1 interface.","Router0# show ip route ospf
(No routes displayed)

Router0# show running-config | section router ospf
router ospf 1
 router-id 1.1.1.1
 network 10.1.1.0 0.0.0.3 area 0

Router0# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0/0       10.1.1.1        YES manual up                    up
GigabitEthernet0/0/1       192.168.10.1    YES manual up                    up","Router0's OSPF process configuration is missing the network statement for the LAN subnet (192.168.10.0/24), so this network is not being advertised.",Layer 3,OSPF / Missing Network Statement,High
35,"The first host on the LAN successfully connects to the Internet, but all subsequent hosts are unable to connect. Pings from host 2 to public IP addresses fail.","Router0# show ip nat translations
Pro  Inside global     Inside local       Outside local      Outside global
icmp 203.0.113.10:1024 192.168.1.10:1024  8.8.8.8:1024       8.8.8.8:1024

Router0# show running-config | include ip nat inside source
ip nat inside source list 1 interface GigabitEthernet0/0/0

Router0# show access-lists 1
Standard IP access list 1
    10 permit 192.168.1.0 0.0.0.255","Dynamic NAT configuration is missing the 'overload' keyword at the end of the source mapping statement, preventing multiple private hosts from sharing the single public WAN IP.",Layer 3,PAT / Missing Overload,High
36,"Newly connected PCs in the training room fail to get an IP address via DHCP and fallback to APIPA addresses (169.254.x.x), while older PCs continue to work fine.","Router0# show ip dhcp conflict
(No conflicts found)

Router0# show ip dhcp pool LAN_POOL
Pool LAN_POOL :
 Utilization mark (30/30)
 Current index 192.168.1.30
 IP address range 192.168.1.10 to 192.168.1.30
 Leased addresses 21
 Pending addresses 0
 Declined addresses 0

Router0# show running-config | section ip dhcp pool
ip dhcp pool LAN_POOL
   network 192.168.1.0 255.255.255.0
   default-router 192.168.1.1
   dns-server 8.8.8.8",The DHCP address pool is exhausted because the configured lease range is too small (only 21 addresses) for the number of devices in the training room.,Layer 7 / Layer 3,DHCP / Pool Exhaustion,High
37,"Network administrators can ping and manage Switch0 from the local management VLAN (VLAN 99), but pings and SSH connections from the IT office in a different subnet (VLAN 10) time out.","Switch0# show running-config | include ip default-gateway
(No output returned)

Switch0# show ip interface brief | include Vlan
Vlan99                 192.168.99.10   YES manual up                    up

Switch0# ping 192.168.10.50
Type escape sequence to abort.
Sending 5, 100-byte ICMP Echos to 192.168.10.50, timeout is 2 seconds:
.....
Success rate is 0 percent (0/5)","Switch0 is missing the 'ip default-gateway' command, preventing it from sending return traffic back to managing stations located in other subnets.",Layer 3,Gateway / Switch Management,Medium
38,"Wireless clients can see and associate with the guest SSID ""Staff_WiFi"" successfully, but they are unable to access any network resources. Checking their network status shows they did not get an IP address (status is 0.0.0.0).","Wireless-Client-1> ipconfig
   IPv4 Address....................: 0.0.0.0
   Subnet Mask.....................: 0.0.0.0
   Default Gateway.................: 0.0.0.0

Wireless_Router# show running-config | include dhcp
no ip dhcp server

Wireless_Router# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
Vlan1                      192.168.50.1    YES manual up                    up","The DHCP server on the wireless router's LAN interface is disabled, preventing wireless clients from acquiring IP addresses.",Layer 3 / Layer 2,Wireless / DHCP Disabled,High
39,"A new office laptop fails to connect to the corporate Wi-Fi network. The status remains ""Connecting..."" or fails with a security mismatch error.","Laptop0# show wireless-connection interface wlan0
SSID: Corp_WiFi
Security: WPA2-Personal
Authentication: Failed (Authentication Timeout/Key Mismatch)

AP0# show running-config | section dot11 ssid
dot11 ssid Corp_WiFi
   authentication open
   authentication key-management wpa version 2
   wpa-psk ascii 0 SecretPassword123

Laptop0# show running-config interface wlan0
interface Dot11Radio0
   ssid Corp_WiFi
   wpa-psk ascii WrongPassword123",Mismatched WPA2 pre-shared key (passphrase mismatch) configured on the wireless client compared to the access point's security settings.,Layer 2 / Layer 1,Wireless / Security Mismatch,High
40,"The network engineer configured a standard ACL to block a host (192.168.1.10) from accessing the internet, but now all hosts in the subnet (192.168.1.0/24) are blocked from accessing the internet.","Router0# show access-lists 10
Standard IP access list 10
    10 deny any
    20 permit 192.168.1.0 0.0.0.255

Router0# show ip interface g0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Internet address is 203.0.113.2/30
  Outgoing access list is 10","The standard ACL has a 'deny any' rule placed at the top (sequence 10), which matches all traffic and prevents the subsequent 'permit' rule from being evaluated.",Layer 3,ACL Rule Order,High
